No,報告自治体,実施主体,産地_都道府県,産地_市町村,産地_その他,非流通品/流通品,食品カテゴリ,品目_品目名,品目_その他,検査機関,検査法,採取日(購入日),結果判明日,Cs134(Bq/kg),Cs137(Bq/kg),Cs合計(Bq/kg)
1,北海道,北海道,北海道,登別市,胆振沖,流通品,水産物,マダラ（小）,-,（公財）海洋生物環境研究所,Ge,H24.10.1〜10.2,H24.10.3,4.7,7.4,12
2,北海道,北海道,北海道,根室市,北海道・青森県沖太平洋,流通品,水産物,サンマ,-,（財）日本冷凍食品検査協会,Ge,H24.9.30,H24.10.4,<0.40,<0.42,<0.82
3,北海道,北海道,北海道,室蘭市,胆振沖,流通品,水産物,マダラ（大）,-,（公財）海洋生物環境研究所,Ge,H24.10.2,H24.10.5,9.0,16,25
4,札幌市,札幌市,岩手県,-,-,流通品,その他,塩蔵ワカメ,-,札幌市衛生研究所,Ge,H24.10.9,H24.10.10,<1.10,<0.975,<2.1
5,札幌市,札幌市,-,-,製造所：岩手県,流通品,その他,乳酸菌飲料,-,札幌市衛生研究所,Ge,H24.10.9,H24.10.10,<0.666,<0.716,<1.4
6,札幌市,札幌市,-,-,製造所：群馬県,流通品,その他,ラクトアイス,-,札幌市衛生研究所,Ge,H24.10.9,H24.10.10,<0.944,<0.846,<1.8
7,札幌市,札幌市,-,-,製造所：埼玉県,流通品,その他,氷菓,-,札幌市衛生研究所,Ge,H24.10.9,H24.10.10,<0.856,<0.816,<1.7
8,函館市,函館市,茨城県,古河市,-,流通品,農産物,ナス,-,北海道渡島保健所（北海道渡島総合振興局保健環境部保健行政室）,NaI,H24.10.1,H24.10.4,<10,<10,<20
9,函館市,函館市,青森県,北津軽郡鶴田町,-,流通品,農産物,ナス,-,北海道渡島保健所（北海道渡島総合振興局保健環境部保健行政室）,NaI,H24.10.1,H24.10.4,<10,<10,<20
10,岩手県,岩手県,岩手県,花巻市旧石鳥谷町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<4.15,<4.97,<9.1
11,岩手県,岩手県,岩手県,花巻市旧石鳥谷町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<4.09,<4.35,<8.4
12,岩手県,岩手県,岩手県,花巻市旧石鳥谷町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<4.09,<4.36,<8.5
13,岩手県,岩手県,岩手県,西和賀町旧湯田町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<3.78,<5.08,<8.9
14,岩手県,岩手県,岩手県,西和賀町旧湯田町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<3.10,<3.71,<6.8
15,岩手県,岩手県,岩手県,西和賀町旧湯田町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.5,H24.10.9,<4.64,<3.81,<8.5
16,岩手県,岩手県,岩手県,八幡平市旧松尾村,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.2,H24.10.9,<4.32,<3.88,<8.2
17,岩手県,岩手県,岩手県,軽米町旧軽米町,-,非流通品,農産物,ソバ,露地,一般財団法人材料科学技術振興財団,Ge,H24.10.4,H24.10.9,<3.39,<5.40,<8.8
